,Room,Time,Assoc,Auth
21,B004,1447331609,51,51
22,B004,1447331909,56,56
23,B004,1447332220,56,56
24,B004,1447332546,59,59
25,B004,1447332874,57,56
26,B004,1447333204,31,31
27,B004,1447333508,54,54
28,B004,1447333797,82,82
29,B004,1447334076,88,88
30,B004,1447334375,88,88
31,B004,1447334667,85,85
32,B004,1447334969,85,85
21,B004,1447561819,0,0
22,B004,1447562121,0,0
23,B004,1447562420,0,0
24,B004,1447562722,0,0
25,B004,1447563023,0,0
26,B004,1447563323,0,0
27,B004,1447563624,0,0
28,B004,1447563925,0,0
29,B004,1447564225,0,0
30,B004,1447564527,0,0
31,B004,1447564827,0,0
32,B004,1447565128,0,0
20,B003,1446705269,0,0
21,B003,1446705565,0,0
22,B003,1446705868,0,0
23,B003,1446706170,0,0
24,B003,1446706481,0,0
25,B003,1446706776,0,0
26,B003,1446707082,0,0
27,B003,1446707381,0,0
28,B003,1446707683,0,0
29,B003,1446707989,0,0
30,B003,1446708290,0,0
20,B002,1447234533,11,11
21,B002,1447234782,13,13
22,B002,1447235099,13,13
23,B002,1447235449,14,14
24,B002,1447235746,13,13
25,B002,1447236049,20,20
26,B002,1447236348,6,6
27,B002,1447236623,7,7
28,B002,1447236920,9,9
29,B002,1447237221,9,9
30,B002,1447237526,10,10
21,B002,1447417802,14,14
22,B002,1447418111,15,15
23,B002,1447418415,20,20
24,B002,1447418719,20,20
25,B002,1447419041,20,19
26,B002,1447419337,11,11
27,B002,1447419683,12,12
28,B002,1447419971,12,12
29,B002,1447420246,13,13
30,B002,1447420547,12,12
31,B002,1447420842,14,14
32,B002,1447421138,14,14
21,B004,1447288316,0,0
22,B004,1447288557,0,0
23,B004,1447288887,0,0
24,B004,1447289149,0,0
25,B004,1447289474,0,0
26,B004,1447289754,0,0
27,B004,1447290051,0,0
28,B004,1447290360,0,0
29,B004,1447290651,0,0
30,B004,1447290957,0,0
31,B004,1447291254,0,0
32,B004,1447291555,0,0
21,B002,1447738248,0,0
22,B002,1447738550,0,0
23,B002,1447738851,0,0
24,B002,1447739154,0,0
25,B002,1447739457,0,0
26,B002,1447739759,0,0
27,B002,1447740058,0,0
28,B002,1447740371,0,0
29,B002,1447740670,1,1
30,B002,1447740963,1,1
31,B002,1447741264,1,1
32,B002,1447741565,1,1
21,B002,1447651854,0,0
22,B002,1447652157,0,0
23,B002,1447652458,0,0
24,B002,1447652758,0,0
25,B002,1447653062,0,0
26,B002,1447653361,0,0
27,B002,1447653665,0,0
28,B002,1447653966,0,0
29,B002,1447654266,0,0
30,B002,1447654568,1,1
31,B002,1447654869,0,0
32,B002,1447655169,0,0
21,B002,1447176769,11,11
22,B002,1447177069,11,11
23,B002,1447177363,11,11
24,B002,1447177661,10,10
25,B002,1447177964,6,6
26,B002,1447178276,6,6
27,B002,1447178573,7,7
28,B002,1447178869,7,7
29,B002,1447179171,6,6
