,students,code
0,29,COMP30190
1,53,COMP40660
2,22,COMP30250
3,60,COMP41690
4,18,COMP30260
5,45,COMP30110
6,27,COMP40370
7,42,COMP30240
8,38,COMP30220
9,60,COMP30520
10,0,COMP47290
11,51,COMP30170
12,53,COMP20020
13,45,COMP30010
14,35,COMP30060
15,56,COMP10280
16,0,COMP47300
17,73,COMP30080
18,49,IS40640
19,66,SCI30060
20,19,COMP41110
21,35,COMP41450
22,112,COMP10130
23,107,COMP20070
24,103,COMP20110
25,0,STAT40150
26,108,COMP20010
27,74,COMP20130
28,84,COMP30070
29,56,MATH10130
30,113,COMP10110
31,83,ENVB30110
32,96,MATH10200
33,108,COMP30120
