0.25,,,,,,
0.5,,,,,,
0.75,,,,,,
1,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.875,,
,,,,,,
Monday,,,,,,
2nd November 2015,CSI,CSI,CSI,CSI,CSI,CSI
Room No.,B004,B002,B003,B1.06,B1.08,B1.09
Room Type / Seats,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,1,1,1,0,0
10.00-11.00,1,1,1,1,1,1
11.00-12.00,1,1,1,1,0,1
12.00-13.00,1,1,1,1,1,1
13.00-14.00,1,1,1,1,1,1
14.00-15.00,1,1,1,1,1,1
15.00-16.00,0,0,1,1,1,0
16.00-17.00,1,1,1,1,1,1
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.5,,
,,,,,,
Monday,,,,,,
2nd November 2015,CSI,CSI,CSI,CSI,CSI,CSI
Room No.,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0.25,0.25,0.25,1,0,0
10.00-11.00,0.5,0.5,0.5,1,0.5,0.5
11.00-12.00,0.25,0.25,0.5,0.25,0,0.5
12.00-13.00,0.25,0.25,0.5,0.25,0.5,0.5
13.00-14.00,0.5,0.5,0.25,1,0.5,0.75
14.00-15.00,0.25,0.25,0.5,1,0.75,0.75
15.00-16.00,0,0,0.25,1,0.25,0
16.00-17.00,0.75,0.75,0.25,0.5,0.75,0.25
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.4375,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.6875,,
,,,,,,
Tuesday,,,,,,
3rd November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,0,0,0,0,0
10.00-11.00,1,1,1,1,1,1
11.00-12.00,1,1,1,1,1,1
12.00-13.00,1,1,1,0,0,1
13.00-14.00,1,0,0,0,0,1
14.00-15.00,1,1,1,1,1,1
15.00-16.00,1,1,1,1,1,0
16.00-17.00,0,1,0,1,1,0
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.462121212121212,,
,,,,,,
Tuesday,,,,,,
3rd November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0.75,0,0,0,0,0
10.00-11.00,0.5,0.5,0.75,0.5,0.25,0.25
11.00-12.00,0.5,0.5,0.75,0.75,0.25,0.25
12.00-13.00,0.5,0.5,0.25,0,0,0.5
13.00-14.00,0.5,0,0,0,0,0.25
14.00-15.00,0.25,0.75,0.5,0.5,0.5,0.25
15.00-16.00,0.25,0.25,0.25,0.75,0.75,0
16.00-17.00,0,0.25,0,0.5,0.5,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.317708333333333,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.541666666666667,,
,,,,,,
Wednesday,,,,,,
4th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,1,0,1,0,0
10.00-11.00,0,1,1,1,1,0
11.00-12.00,1,1,0,0,1,1
12.00-13.00,1,1,1,1,1,0
13.00-14.00,0,0,1,1,0,1
14.00-15.00,0,1,0,1,1,1
15.00-16.00,0,0,0,1,1,0
16.00-17.00,0,1,0,0,0,0
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.423076923076923,,
,,,,,,
Wednesday,,,,,,
4th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0.25,0.25,0,0.75,0,0
10.00-11.00,0,0.25,0.25,0.75,0.25,0
11.00-12.00,0.25,0.25,0,0,0.25,0.25
12.00-13.00,0.5,0.5,0.75,0.5,0.25,0
13.00-14.00,0,0,0.75,0.5,0,0.25
14.00-15.00,0,0.25,0,0.5,0.5,0.75
15.00-16.00,0,0,0,0.75,0.25,0
16.00-17.00,0,0.25,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,0,0.25,0.75,0.5,1
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.229166666666667,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.645833333333333,,
,,,,,,
Thursday,,,,,,
5th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,0,0,0,0,0
10.00-11.00,1,1,1,1,0,0
11.00-12.00,1,1,1,1,0,0
12.00-13.00,1,1,1,1,0,1
13.00-14.00,1,1,1,1,1,1
14.00-15.00,1,1,1,1,1,1
15.00-16.00,0,1,0,1,1,0
16.00-17.00,0,0,0,1,1,0
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.370967741935484,,
,,,,,,
Thursday,,,,,,
5th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,0,0,0,0,0
10.00-11.00,0.25,0.5,0.25,0.5,0,0
11.00-12.00,0.25,0.25,0.25,0.5,0,0
12.00-13.00,0.25,0.25,0.5,0.5,0,0.25
13.00-14.00,0.5,0.25,0.25,0.25,0.75,0.25
14.00-15.00,0.25,0.25,0.25,0.5,0.75,0.25
15.00-16.00,0,0.5,0,0.25,0.25,0
16.00-17.00,0,0,0,0.25,0.25,0
,,,,,,
,,,,,,
,,,,,,
,,0,1,0.75,0.25,0.5
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.239583333333333,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.520833333333333,,
,,,,,,
Friday,,,,,,
6th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0,0,1,1,0,0
10.00-11.00,1,0,1,1,0,0
11.00-12.00,1,1,1,1,0,0
12.00-13.00,1,1,1,1,0,0
13.00-14.00,1,1,0,0,0,0
14.00-15.00,1,1,1,1,0,0
15.00-16.00,0,1,1,1,0,0
16.00-17.00,0,1,1,1,0,0
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.47,,
,,,,,,
Friday,,,,,,
6th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0,0,0.25,0.5,0,0
10.00-11.00,0.5,0,0.75,0.5,0,0
11.00-12.00,0.25,0.25,0.25,1,0,0
12.00-13.00,0.25,0.25,0.25,0.25,0,0
13.00-14.00,0.5,0.25,0,0,0,0
14.00-15.00,0.25,0.25,0.75,0.5,0,0
15.00-16.00,0,0.5,0.75,1,0,0
16.00-17.00,0,0.5,0.5,0.75,0,0
,,,,,,
,,,,,,
,,,,,,
,,0,1,0.75,0.25,0.5
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.244791666666667,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.854166666666667,,
,,,,,,
Monday,,,,,,
9th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,1,1,1,0,0
10.00-11.00,1,1,1,1,1,0
11.00-12.00,1,0,1,0,1,1
12.00-13.00,1,1,1,0,1,1
13.00-14.00,1,1,1,1,1,1
14.00-15.00,1,1,1,1,1,0
15.00-16.00,1,1,1,1,1,1
16.00-17.00,1,1,1,1,1,1
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.353658536585366,,
,,,,,,
Monday,,,,,,
9th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0.25,0.25,0.5,1,0,0
10.00-11.00,0.25,0.25,0.25,0.75,0.25,0
11.00-12.00,0.25,0,0.5,0,0.25,0.25
12.00-13.00,0.25,0.25,0.5,0,0.25,0.25
13.00-14.00,0.25,0.25,0.25,0.25,0.25,0.25
14.00-15.00,0.25,0.25,0.25,0.5,0.5,0
15.00-16.00,0.5,0.25,0.25,1,0.5,0.25
16.00-17.00,0.25,0.25,0.25,0.75,0.25,0.25
,,,,,,
,,,,,,
,,,,,,
,,,0,0.25,0.75,0.5
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.302083333333333,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.583333333333333,,
,,,,,,
Tuesday,,,,,,
10th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,1,0,0,0,0,0
10.00-11.00,1,0,0,0,0,0
11.00-12.00,1,1,1,1,0,0
12.00-13.00,1,1,1,1,0,0
13.00-14.00,1,1,1,1,0,0
14.00-15.00,1,1,1,1,1,1
15.00-16.00,1,1,1,1,1,0
16.00-17.00,0,1,0,1,1,0
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.383928571428571,,
,,,,,,
Tuesday,,,,,,
10th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0.25,0,0,0,0,0
10.00-11.00,0.25,0,0,0,0,0
11.00-12.00,0.25,0.25,0.5,0.75,0,0
12.00-13.00,0.25,0.25,0.5,0.75,0,0
13.00-14.00,0.25,0.25,0.25,0.5,0,0
14.00-15.00,0.5,0.5,0.25,0.75,0.5,0.25
15.00-16.00,0.25,0.5,0.25,0.5,0.25,0
16.00-17.00,0,0.25,0,0.5,0.25,0
,,,,,,
,,,,,,
,,,,,,
,,0,1,0.75,0.25,0.5
,,,,,,
,,,,,,
,,,,,,
CSI Classroom UTILISATION,,,,0.223958333333333,,
,,,,,,
,,,,,,
CSI Classroom FREQUENCY OF USE,,,,0.604166666666667,,
,,,,,,
Wednesday,,,,,,
11th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
,Lecture Th.,Classroom,Classroom,A.L.E.,Seminar,Seminar
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0,1,0,1,0,0
10.00-11.00,0,0,0,1,1,0
11.00-12.00,1,1,1,1,1,0
12.00-13.00,1,1,1,1,1,0
13.00-14.00,0,1,1,1,1,1
14.00-15.00,0,0,1,1,1,1
15.00-16.00,0,1,1,1,1,0
16.00-17.00,0,1,1,0,0,0
,,,,,,
In Use by 3 or more people,,,,,,
,,,,,,
,,,,,,
,,,,,,
CSI Classroom OCCUPANCY,,,,0.362068965517241,,
,,,,,,
Wednesday,,,,,,
11th November 2015,CSI,CSI,CSI,CSI,CSI,CSI
,B004,B002,B003,B1.06,B1.08,B1.09
Time,160,90,90,90,40,90
,,,,,,
9.00-10.00,0,0.25,0,0.75,0,0
10.00-11.00,0,0,0,0.5,0.25,0
11.00-12.00,0.25,0.25,0.75,0.25,0.25,0
