Week 1,Students registered,,,,Week 2,Students registered,,
Mon 2 Nov,B0.02,B0.03,B0.04,,Mon 9 Nov,B0.02,B0.03,B0.04
9:00 - 10:00,29,53,79,,9:00 - 10:00,29,53,79
10:00 - 11:00,53,53,49,,10:00 - 11:00,53,53,0
11:00 - 12:00,0,45,49,,11:00 - 12:00,0,45,0
12:00 - 13:00,22,45,98,,12:00 - 13:00,22,45,98
13:00 - 14:00,60,0,N/A,,13:00 - 14:00,60,0,0
14:00 - 15:00,18,33,66,,14:00 - 15:00,18,33,66
15:00 - 16:00,0,33,19,,15:00 - 16:00,0,33,19
16:00 - 17:00,53,35,0,,16:00 - 17:00,53,35,0
17:00 - 18:00,53,35,0,,17:00 - 18:00,53,35,0
,,,,,,,,
Tues 3 Nov,B0.02,B0.03,B0.04,,Tues 10 Nov,B0.02,B0.03,B0.04
9:00 - 10:00,0,0,143,,9:00 - 10:00,0,0,143
10:00 - 11:00,45,0,112,,10:00 - 11:00,45,0,112
11:00 - 12:00,18,56,107,,11:00 - 12:00,18,56,107
12:00 - 13:00,27,0,139,,12:00 - 13:00,27,0,139
13:00 - 14:00,0,N/A,103,,13:00 - 14:00,0,N/A,103
14:00 - 15:00,42,0,0,,14:00 - 15:00,42,0,0
15:00 - 16:00,42,0,108,,15:00 - 16:00,42,0,108
16:00 - 17:00,27,0,0,,16:00 - 17:00,27,0,0
17:00 - 18:00,27,0,0,,17:00 - 18:00,27,0,0
,,,,,,,,
Wed 4 Nov,B0.02,B0.03,B0.04,,Wed 11 Nov,B0.02,B0.03,B0.04
9:00 - 10:00,29,0,79,,9:00 - 10:00,29,0,79
10:00 - 11:00,53,0,0,,10:00 - 11:00,53,0,0
11:00 - 12:00,22,0,98,,11:00 - 12:00,22,0,98
12:00 - 13:00,60,73,74,,12:00 - 13:00,60,73,74
13:00 - 14:00,60,0,0,,13:00 - 14:00,60,73,0
14:00 - 15:00,38,0,0,,14:00 - 15:00,38,0,0
15:00 - 16:00,79,0,84,,15:00 - 16:00,79,0,84
16:00 - 17:00,22,0,0,,16:00 - 17:00,22,0,0
17:00 - 18:00,22,0,0,,17:00 - 18:00,22,0,0
,,,,,,,,
Thurs 5 Nov,B0.02,B0.03,B0.04,,Thurs 12 Nov,B0.02,B0.03,B0.04
9:00 - 10:00,0,42,143,,9:00 - 10:00,0,42,143
10:00 - 11:00,45,0,56,,10:00 - 11:00,45,0,56
11:00 - 12:00,27,0,139,,11:00 - 12:00,27,0,139
12:00 - 13:00,18,56,107,,12:00 - 13:00,18,56,107
13:00 - 14:00,0,N/A,113,,13:00 - 14:00,0,N/A,113
14:00 - 15:00,42,0,83,,14:00 - 15:00,42,0,83
15:00 - 16:00,60,0,0,,15:00 - 16:00,60,0,0
16:00 - 17:00,0,0,108,,16:00 - 17:00,60,0,108
17:00 - 18:00,0,0,0,,17:00 - 18:00,0,0,0
,,,,,,,,
Friday 6 Nov,B0.02,B0.03,B0.04,,Friday 13 Nov,B0.02,B0.03,B0.04
9:00 - 10:00,38,45,0,,9:00 - 10:00,38,45,0
10:00 - 11:00,0,0,96,,10:00 - 11:00,0,45,96
11:00 - 12:00,29,0,84,,11:00 - 12:00,29,0,84
12:00 - 13:00,0,0,0,,12:00 - 13:00,29,0,0
13:00 - 14:00,51,0,103,,13:00 - 14:00,51,0,103
14:00 - 15:00,42,65,113,,14:00 - 15:00,42,65,113
15:00 - 16:00,0,0,38,,15:00 - 16:00,0,65,38
16:00 - 17:00,0,0,0,,16:00 - 17:00,0,0,0
17:00 - 18:00,0,0,0,,17:00 - 18:00,0,0,0
